Name ru,Name en,Transliterations,Countries,DOB,Gender,Description,Tags
Агранович Екатерина Александровна,Agranovich Ekaterina Alexandrovna,,,01.07.1998,F,"Russian propagandist. So-called ""war correspondent"" of the Katrusya Telegram channel. Actively supports Russia's aggression against Ukraine and the actions of the Russian authorities. Participated in the meeting between Vladimir Putin and ""war correspondents"" on June 13, 2023.
Authorized representative of presidential candidate Vladimir Putin in the non-competitive presidential elections on March 15-17, 2024. Authorized representatives voluntarily campaign for the re-election of Vladimir Putin, who is responsible for unleashing an aggressive war against Ukraine and political repression in Russia.

Information from Vladimir Putin's election website:
Blogger “Katrusya” (Donetsk), secretary of the Union of Journalists of Russia, first deputy chairman of the Commission of the Public Chamber of the Russian Federation for the development of the non-profit sector.
----
The Union of Journalists of Russia is a state-controlled public organization that supports the actions of Russian authorities on behalf of journalists.

The Public Chamber of the Russian Federation is a discussion platform created and controlled by the state to simulate public debate.

Russian propagandist supporting military aggression against Ukraine. Participated in the meeting of Vladimir Putin with war correspondents on June 13, 2023.","Propagandists

Presidential proxies in elections"
Ахполов Александр Алиханович,Ahpolov Alexander Alikhanovich,,,29.05.1956,M,Member of the Board of Directors of JSC Prioksky Non-Ferrous Metals Plant,Top Management of State Owned Companies
Аксюта Юрий Викторович,Aksyuta Yuri Viktorovich,,,27.04.1959,M,Head of the Directorate of Music and Entertainment Broadcasting of the federal TV channel Channel One. Plays an important role in organizing television propaganda.,Propagandists
Акжигитов Ряшит Исхакович,Akzhigitov Ryashit Iskhakovich,,,22.10.1965,M,Deputy General Director of JSC United Grain Company,Top Management of State Owned Companies
Алиева Салимат Багомедовна,Alieva Salimat Bagomedovna,,,,F,Editor-in-Chief of the Zamana newspaper (owned by the Agency of Information and Press of the Republic of Dagestan),Propagandists
Андалаева Лариса Сереновна,Andalaeva Larisa Serenovna,,,1965,F,Chairman of the Election Commission of the Republic of Tuva. Head of a state body responsible for supporting the existing political regime in Russia through electoral fraud.,Election fraud organizers
Андреева Елена Викторовна,Andreeva Elena Viktorovna,,,08.12.1974,F,Deputy General Director of PJSC Federal Grid Company - Rosseti (before reorganization - PJSC FGC UES),Top Management of State Owned Companies
Андресов Юрий Николаевич,Andresov Yuri Nikolaevich,,"US
UK",11.09.1969,M,Member of the Management Board of PJSC VTB Bank,Top Management of State Owned Companies
Андрианова Наталья Валерьевна,Andrianova Natalya Valerievna,,,21.10.1979,F,"Deputy Head of the Federal Air Transport Agency of the Russian Federation. She manages a state body of the Russian Federation, which supports or implements actions or policies that undermine or threaten the territorial integrity, sovereignty, and independence of Ukraine.",Senior Federal Officials
Анкуд Наталья Рашидовна,Ankud Natalya Rashidovna,,,,F,Director of Yugoria State TV and Radio Broadcasting Company. Head of a state-controlled propaganda media outlet supporting Russia's aggression against Ukraine.,Propagandists
Антонова Алена Александровна,Antonova Alena Alexandrovna,,,,F,"Minister of Property and Land Relations of the so-called Luhansk People's Republic. In her position, she assists Russian aggression against Ukraine and the occupation of part of Ukrainian territory.",War Arrangers
Антропова Валентина Викторовна,Antropova Valentina Viktorovna,,,04.04.1982,M,"Deputy Minister of the Russian Federation for Civil Defence, Emergency Situations and Elimination of Consequences of Natural Disasters. He manages a state body of the Russian Federation, which supports or implements actions or policies that undermine or threaten the territorial integrity, sovereignty, and independence of Ukraine.",Senior Federal Officials
Акино А. Педро,Aquino A. Pedro,,,1951,M,Member of the Board of Directors of PJSC Rosneft Oil Company,Top Management of State Owned Companies
Ардабьева Елена Анатольевна,Ardabyeva Elena Anatolyevna,,,,F,"Deputy Minister of Justice of the Russian Federation. She manages a state body of the Russian Federation, which supports or implements actions or policies that undermine or threaten the territorial integrity, sovereignty, and independence of Ukraine.",Senior Federal Officials
Архипов Николай Фёдорович,Arkhipov Nikolai Fyodorovich,,,06.06.1970,M,"Member of the Board of Directors of JSC Tactical Missiles Corporation
Director of the Department of the Military-Industrial Complex of the Government of the Russian Federation.  Manages a structural subdivision of the apparatus of the supreme executive body of the Russian Federation, which supports or implements actions or policies that undermine or threaten the territorial integrity, sovereignty and independence of Ukraine.","Top Management of State Owned Companies

Senior Federal Officials"
Аушев Владимир Альбертович,Aushev Vladimir Albertovich,,,12.03.1970,M,Member of the Board of Directors of JSC Transinzhstroy,Top Management of State Owned Companies
Азаренков Денис Александрович,Azarenkov Denis Alexandrovich,,,,M,Editor-in-Chief of the Smolenskie Gorodskie Izvestia newspaper (owned by the Smolensk city council),Propagandists
Азбукин Владимир Михайлович,Azbukin Vladimir Mikhailovich,,,11.04.1962,M,Member of the Board of Directors of JSC Prioksky Non-Ferrous Metals Plant,Top Management of State Owned Companies
Бадмаев Дмитрий Игоревич,Badmaev Dmitry Igorevich,,,02.04.1979,M,"Director, of Buryatia State TV and Radio Broadcasting Company. Head of a state-controlled propaganda media outlet that supports Russian aggression against Ukraine.",Propagandists
Бахарев Георгий Олегович,Bakharev Georgy Olegovich,,,23.08.1974,M,"Deputy Head of the Federal Air Transport Agency of the Russian Federation. He manages a state body of the Russian Federation, which supports or implements actions or policies that undermine or threaten the territorial integrity, sovereignty, and independence of Ukraine.",Senior Federal Officials
Бельмахди Тайеб,Belmahdi Tayeb,,,1950,M,Chairman of the Board of Directors of PJSC Rosneft Oil Company,Top Management of State Owned Companies
Беляков Борис Вадимович,Belyakov Boris Vadimovich,,,07.08.1987,M,"Director of the Press Service and Referent Office Department of the Government of the Russian Federation.  He manages a structural subdivision of the apparatus of the supreme executive body of the Russian Federation, which supports or implements actions or policies that undermine or threaten the territorial integrity, sovereignty, and independence of Ukraine.",Senior Federal Officials
Бердников Роман Николаевич,Berdnikov Roman Nikolaevich,,,14.08.1973,M,First Deputy General Director of PJSC RusHydro,Top Management of State Owned Companies
Беседа Александр Сергеевич,Beseda Alexander Sergeevich,,,,M,"Director of the Department for Maintaining the Activities of Administrative Bodies of the Government of the Russian Federation. Manages a structural subdivision of the apparatus of the supreme executive body of the Russian Federation, which supports or implements actions or policies that undermine or threaten the territorial integrity, sovereignty and independence of Ukraine.",Senior Federal Officials
Биленкина Инна Петровна,Bilenkina Inna Petrovna,,,27.07.1963,F,Head of the Directorate for Scientific and Educational Policy of the Presidential Administration of the Russian Federation. Heads the structural subdivision of the state body responsible for the development and implementation of Russia's aggressive policy during the invasion of Ukraine,Senior Federal Officials
Билык Роман Витальевич,Bilyk Roman Vitalievich,,,07.12.1977,M,"Russian rock musician, leader and vocalist of the group “Zveri”. Actively supported the actions of the Russian authorities and armed forces in Ukraine during the aggressive war unleashed by Russia.",Sellout opinion leaders
Богдановский Николай Васильевич,Bogdanovsky Nikolay Vasilievich,,"CA
UK
AU",17.01.1957,M,Russian military commander. First Deputy Chief of the General Staff of the Russian Federation. An official of the Ministry of Defence of the Russian Federation. Holds a senior position in the federal state body responsible for the military actions of the Russian armed forces against Ukraine.,War Arrangers
Борисенко Григорий Валерьевич,Borisenko Grigory Valerievich,,,11.12.1982,M,"Deputy Minister of Digital Development, Communications and Mass Media of the Russian Federation. He manages a state body of the Russian Federation, which supports or implements actions or policies that undermine or threaten the territorial integrity, sovereignty, and independence of Ukraine.",Senior Federal Officials
Бородкин Анатолий Леонидович,Borodkin Anatoly Leonidovich,,,,M,"Russian propagandist. So-called ""war correspondent"" of Zvezda television company. Actively supports Russia's aggression against Ukraine and the actions of the Russian authorities. Participated in the meeting between Vladimir Putin and ""war correspondents"" on June 13, 2023.",Propagandists
Бородунова Мария,Borodunova Maria,,,06.10.1986,F,"Wife of Russian oligarch Arkady Rotenberg. According to a credible public investigation, she systematically helped her husband, who has been subjected to international sanctions, circumvent the restrictive measures imposed against him.",Individuals involved in corruption
Боровков Игорь Владимирович,Borovkov Igor Vladimirovich,,CA,30.07.1954,M,Member of the Supervisory Board of State Atomic Energy Corporation Rosatom,Top Management of State Owned Companies
Боженова Евгения Викторовна,Bozhenova Evgeniya Viktorovna,,,,F,"Director of the Department for Maintaining Regulatory Policy of the Government of the Russian Federation. Manages a structural subdivision of the apparatus of the supreme executive body of the Russian Federation, which supports or implements actions or policies that undermine or threaten the territorial integrity, sovereignty and independence of Ukraine.",Senior Federal Officials
Браверман Анатолий Александрович,Braverman Anatoly Alexandrovich,,"CA
US
UK",05.08.1985,M,First Deputy General Director of JSC Management Company of the Russian Direct Investment Fund,Top Management of State Owned Companies
Бричкалевич Михаил Михайлович,Brichkalevich Mikhail Mikhailovich,,,08.06.1954,M,Deputy General Director of JSC Channel One Russia,Top Management of State Owned Companies
Буркова Галина Игоревна,Burkova Galina Igorevna,,,08.03.1959,F,Chairman of the Electoral Commission of the Kirovskaya Oblast. Head of the state body responsible for supporting the current political regime in Russia through electoral fraud.,Election fraud organizers
Черносвитова Ольга Александровна,Chernosvitova Olga Alexandrovna,,,,F,Head of the Sports Broadcasting Directorate of the federal TV channel Channel One. Plays an important role in organizing television propaganda.,Propagandists
Чернова Юлия Николаевна,Chernova Julia Nikolaevna,,,,F,Director and Editor-in-Chief of the Vladimir - Eto My bulletin (owned by the Vladimir city council),Propagandists
Чернявская Оксана Валерьевна,Chernyavskaya Oksana Valerievna,,,,F,General Director of LLC Irkutsk Alternative Television Studio. Head of a state-controlled propaganda outlet supporting Russia's aggression against Ukraine.,Propagandists
Чернышев Владимир Владимирович,Chernyshev Vladimir Vladimirovich,,,1973,M,"Deputy Head of the Federal Service for Supervision of Natural Resources of the Russian Federation. He manages a state body of the Russian Federation, which supports or implements actions or policies that undermine or threaten the territorial integrity, sovereignty, and independence of Ukraine.",Senior Federal Officials
Чурикова Оксана Николаевна,Churikova Oksana Nikolaevna,,,,F,"Director of OOO Tambov Publishing House, which publishes the Tambovskaya Zhizn' newspaper (controlled by the government of Tambov Oblast)",Propagandists
Даниелян Марина Виленовна,Danielyan Marina Vilenovna,,,05.11.,M,Head of the Office of the General Director of federal TV channel Channel One. Plays an important role in organizing television propaganda.,Propagandists
Данилов Иван Александрович,Danilov Ivan Alexandrovich,,,,M,"Member of the Board of Directors of PJSC Novorossiysk Commercial Sea Port
Member of the Board of Directors of JSC Prioksky Non-Ferrous Metals Plant",Top Management of State Owned Companies
Демин Игорь Геннадьевич,Demin Igor Gennadievich,,,,M,Managing Director of the Ulyanovsk Segodnya newspaper (owned by the Ulyanovsk city council),Propagandists
Денисов Константин Иванович,Denisov Konstantin Ivanovich,,"CA
UK",25.04.1960,M,Deputy General Director for Security of State Atomic Energy Corporation Rosatom,Top Management of State Owned Companies
Дербенёв Евгений Анатольевич,Derbenev Evgeny Anatolievich,,,,M,"Director of the Control Department of the Government of the Russian Federation. Manages a structural subdivision of the apparatus of the supreme executive body of the Russian Federation, which supports or implements actions or policies that undermine or threaten the territorial integrity, sovereignty and independence of Ukraine.",Senior Federal Officials
Диркс Наталья Германовна,Dirks Natalya Germanovna,,"CA
US
UK",17.09.1961 г.,F,Member of the Management Board of PJSC VTB Bank,Top Management of State Owned Companies
Дивнич Максим Андреевич,Divnich Maxim Andreevich,,,07.11.1988,M,Professional Russian MMA fighter. Actively supports Russian aggression against Ukraine and the actions of the Russian authorities.,Warmongers
Добчинов Арсалан Бороевич,Dobchinov Arsalan Boroevich,,,,M,Editor-in-Chief of the Aginskaya Pravda newspaper (owned by the local government of the Agin-Buryat Autonomous Okrug of the Zabaykalsky Krai),Propagandists
Добряков Андрей Анатольевич,Dobryakov Andrey Anatolievich,,,,M,"Deputy Head of the Federal Air Transport Agency of the Russian Federation. He manages a state body of the Russian Federation, which supports or implements actions or policies that undermine or threaten the territorial integrity, sovereignty, and independence of Ukraine.",Senior Federal Officials
Долгов Максим Сергеевич,Dolgov Maxim Sergeevich,,,,M,"Russian propagandist. So-called ""war correspondent"" of the Readovka online media outlet. Actively supports Russia's aggression against Ukraine and the actions of the Russian authorities. Participated in the meeting between Vladimir Putin and ""war correspondents"" on June 13, 2023.",Propagandists
Дорохов Денис Игоревич,Dorokhov Denis Igorevich,,,04.05.1987,M,Russian comedian and actor. Actively supports Russian aggression against Ukraine and the actions of the Russian military forces.,Sellout opinion leaders
Дьячковский Алексей Прокопьевич,Dyachkovsky Alexey Prokopevich,,,28.04.1968,M,Deputy General Director of PJSC Alrosa,Top Management of State Owned Companies
Дынкин Александр Александрович,Dynkin Alexander Alexandrovich,,,30.07.1948,M,Member of the Board of Directors of PJSC Zarubezhneft,Top Management of State Owned Companies
Дзоблаева Лариса Сулеймановна,Dzoblaeva Larisa Suleymanovna,,,,F,Editor-in-Chief of the Iraf magazine (owned by the Government of the Republic of North Ossetia - Alania),Propagandists
Ельчанинов Андрей Фёдорович,Elchaninov Andrey Fyodorovich,,,12.05.1968,M,Member of the Board of Directors of JSC Tactical Missiles Corporation,Top Management of State Owned Companies
Ермолюк Андрей Николаевич,Ermolyuk Andrey Nikolaevich,,,,M,Managing Director and Editor-in-Chief of the Kemerovo newspaper (owned by the Kemerovo city council),Propagandists
Ершов Андрей Николаевич,Ershov Andrey Nikolaevich,,,24.11.1974,M,"Minister of Digital Development, Communications and Mass Communications of the so-called Luhansk People's Republic. In his position, he assists Russian aggression against Ukraine and the occupation of part of Ukrainian territory.",War Arrangers
Фёдоров Антон Юрьевич,Fedorov Anton Yurievich,,,16.09.1961,M,"
Head of the Directorate for Information and Documentation Support of the Presidential Administration of the Russian Federation. Manages a structural subdivision of the state body responsible for the development and implementation of Russia's aggressive policy during the invasion of Ukraine","Top bribetakers and warmongers

Senior Federal Officials"
Федоров Денис Владимирович,Fedorov Denis Vladimirovich,,CA,12.07.1978,M,Member of the Board of Directors of PJSC Inter RAO UES,Top Management of State Owned Companies
Фёдорова Наталья Владимировна,Fedorova Natalya Vladimirovna,,,,F,"Deputy General Director of the State Corporation ""Deposit Insurance Agency"". In her position, she ensures state control over the stability of the financial system and the banking sector of Russia in the context of aggression against Ukraine.
Financed Russia's aggressive war against Ukraine or managed finances in the interests of the Putin's regime or in order to maintain its stability by virtue of their position.","Top Management of State Owned Companies

Top bribetakers and warmongers"
Филатов Алексей Евгеньевич,Filatov Alexey Evgenievich,,"UK
EU
CH",12.02.1983,M,"
Head of the Directorate for Border Cooperation of the Presidential Administration of the Russian Federation. Manages a structural subdivision of the state body responsible for the development and implementation of Russia's aggressive policy during the invasion of Ukraine","Top bribetakers and warmongers

Senior Federal Officials"
Филатов Андрей Владимирович,Filatov Andrey Vladimirovich,,,25.12.1981,M,"Russian propagandist. So-called ""war correspondent"" of Russia Today television company. Actively supports Russia's aggression against Ukraine and the actions of the Russian authorities. Participated in the meeting between Vladimir Putin and ""war correspondents"" on June 13, 2023.",Propagandists
Филатов Евгений Витальевич,Filatov Evgeniy Vitalievich,,,13.07.1981,M,"Deputy Minister of Digital Development, Communications and Mass Media of the Russian Federation. He manages a state body of the Russian Federation, which supports or implements actions or policies that undermine or threaten the territorial integrity, sovereignty, and independence of Ukraine.",Senior Federal Officials
Филатова Мария Владиславовна,Filatova Maria Vladislavovna,,,25.03.1971,F,"Deputy General Director of the State Corporation ""Deposit Insurance Agency"". In her position, she ensures state control over the stability of the financial system and the banking sector of Russia in the context of aggression against Ukraine.
Financed Russia's aggressive war against Ukraine or managed finances in the interests of the Putin's regime or in order to maintain its stability by virtue of their position.
","Top Management of State Owned Companies

Top bribetakers and warmongers"
Филиппов Денис Сергеевич,Filippov Denis Sergeevich,,,21.09.1976,M,Deputy General Director of JSC DOM.RF,Top Management of State Owned Companies
Филиппов Евгений Станиславович,Filippov Evgeniy Stanislavovich,,,,M,"Deputy Minister of Transport of the Russian Federation. He manages a state body of the Russian Federation, which supports or implements actions or policies that undermine or threaten the territorial integrity, sovereignty, and independence of Ukraine.",Senior Federal Officials
Финогенов Антон Владимирович,Finogenov Anton Vladimirovich,,,09.12.1984,M,Deputy General Director of JSC DOM.RF,Top Management of State Owned Companies
Фрадков Михаил Ефимович,Fradkov Mikhail Efimovich,,"CA
US
UK
EU
CH
AU
JP",01.09.1950,M,Chairman of the Board of Directors of JSC Air Defense Concern Almaz-Antey,Top Management of State Owned Companies
Фролов Василий Федорович,Frolov Vasily Fyodorovich,,,18.09.1965,M,Deputy General Director of PJSC Russian Railways,Top Management of State Owned Companies
Гальперин Михаил Львович,Galperin Mikhail Lvovich,,,15.07.1983,M,"Deputy General Director, Head of the Legal Department of PJSC Inter RAO",Top Management of State Owned Companies
Гапонько Владимир Викторович,Gaponko Vladimir Viktorovich,,,1979,M,Director of PJSC Russian Railways for Operational Efficiency - Head of the Department of Economics.,Top Management of State Owned Companies
Гасанов Темирхан Магомедович,Gasanov Temirkhan Magomedovich,,,,M,Editor-in-Chief of the Khakikat newspaper (controlled by the government of the Republic of Dagestan),Propagandists
Газдиев Мурад Салихович,Gazdiev Murad Salihovich,,,27.07.1988,M,"Russian propagandist. So-called ""war correspondent"" of Russia Today television company. Actively supports Russia's aggression against Ukraine and the actions of the Russian authorities. Participated in the meeting between Vladimir Putin and ""war correspondents"" on June 13, 2023.",Propagandists
Герасимов Антон Андреевич,Gerasimov Anton Andreevich,,,31.12.1985,M,"Deputy Minister of the Russian Federation for Civil Defence, Emergency Situations and Elimination of Consequences of Natural Disasters. He manages a state body of the Russian Federation, which supports or implements actions or policies that undermine or threaten the territorial integrity, sovereignty, and independence of Ukraine.",Senior Federal Officials
Глазков Борис Михайлович,Glazkov Boris Mikhailovich,,,11.08.1981,M,Vice President of PJSC Rostelecom,Top Management of State Owned Companies
Глазков Михаил Олегович,Glazkov Mikhail Olegovich,,,1980,M,Deputy General Director of PJSC Russian Railways - Head of the Central Directorate of Traffic Management,Top Management of State Owned Companies
Глушков Антон Николаевич,Glushkov Anton Nikolaevich,,,11.05.1978,M,Member of the Supervisory Board of JSC DOM.RF,Top Management of State Owned Companies
Гордеев Сергей Эдуардович,Gordeev Sergey Eduardovich,,US,22.11.1972,M,"Russian entrepreneur, main shareholder of the construction and development company PIK. According to credible data from a public investigation, he controls companies that provide financial and organizational assistance to the Russian Ministry of Defence in recruiting contract soldiers to participate in hostilities in Ukraine.",Individuals involved in corruption
Горобцов Алексей Владимирович,Gorobtsov Alexey Vladimirovich,,,27.07.1979,M,"Deputy Head of the Federal Service for State Statistics of the Russian Federation. He manages a state body of the Russian Federation, which supports or implements actions or policies that undermine or threaten the territorial integrity, sovereignty, and independence of Ukraine.",Senior Federal Officials
Гребенщиков Андрей Анатольевич,Grebenshchikov Andrey Anatolievich,,,01.06.1976,M,Minister of Justice of the self-proclaimed Luhansk People's Republic. Assisted Russian aggression against Ukraine and the occupation of part of Ukrainian territory.,War Arrangers
Гусакова Ирина Г.,Gusakova Irina,,,,F,Editor-in-Chief of the Belgorodskie Izvestia newspaper (owned by the government of Belgorod Oblast),Propagandists
Гусев Николай Анатольевич,Gusev Nikolai Anatolievich,,EU,13.12.1956,M,"General Director of JSC Vympel NPO, which produces missile weapons for the Russian army.
According to credible data from a public investigation, Nikolai Gusev is involved in corruption in the Russian military-industrial complex.","Top Management of State Owned Companies

Individuals involved in corruption"
Хайдуков Алексей Олегович,Haydukov Alexey Olegovich,,,10.04.1967,M,Chief Operating Director of OJSC Sovcomflot,Top Management of State Owned Companies
Ховхун Елена Викторовна,Hovkhun Elena Viktorovna,,,,F,"Editor-in-Chief of the newspaper ""Belgorodskaia pravda"" (owned by the Government of the Belgorod oblast)",Propagandists
Игашова Надежда Викторовна,Igashova Nadezhda Viktorovna,,,,F,Quality Director of JSC Prioksky Non-Ferrous Metals Plant,Top Management of State Owned Companies
Илизиров Эрвин Равиноевич,Ilizirov Ervin Ravinoevich,,,26.01.1981,M,Deputy General Director of JSC Russian Helicopters,Top Management of State Owned Companies
Инкин Сергей Юрьевич,Inkin Sergey Yurievich,,,06.03.1972,M,"Business partner of Evgeny Prigozhin, a Russian businessman who, on behalf of Vladimir Putin and with the money of the Russian state, created the Wagner Private Military Company, which took an active part in Russian aggression against Ukraine, in military conflicts in Africa and Syria. Evgeny Prigozhin also persecuted Russian opposition politicians and journalists for many years on behalf of and at the expense of the Putin regime and led disinformation campaigns in Russia and abroad.

Sergei Inkin's companies make purchases from Evgeny Prigozhin's companies, which are under international sanctions. Thus, Sergey Inkin violates the restrictive measures and helps Yevgeny Prigozhin extract profits.",Individuals involved in corruption
Ишбулатов Ильгиз,Ishbulatov Ilgiz,,,,M,"Propagandists / Regional press:
Editor-in-Chief of the Khenek magazine (owned by the Press and Mass Media Agency for the Republic of Bashkortostan)",Low priority
Кафизов Роман Тагирович,Kafizov Roman Tagirovich,,,,M,Financial Director of JSC United Grain Company,Top Management of State Owned Companies
Каганов Вениамин Шаевич,Kaganov Veniamin Shaevich,,,23.04.1958,M,Member of the Supervisory Board of PJSC VTB Bank,Top Management of State Owned Companies
Каланда Владимир Александрович,Kalanda Vladimir Alexandrovich,,CA,16.04.1960,M,Vice President of JSC Transneft,Top Management of State Owned Companies
Каланов Алишер Бахадырович,Kalanov Alisher Bahadyrovich,,,22.09.1968,M,Member of the Management Board pf RUSNANO Management Company LLC,Top Management of State Owned Companies
Калус Константин Евгеньевич,Kalus Konstantin Evgenievich,,,08.09.1978,M,Minister of Revenue and Levies of the self-proclaimed Donetsk People's Republic. Assisted Russian aggression against Ukraine and the occupation of part of Ukrainian territory.,War Arrangers
Каменских Иван Михайлович,Kamenskikh Ivan Mikhailovich,,CA,03.02.1946,M,First Deputy General Director of State Atomic Energy Corporation Rosatom,Top Management of State Owned Companies
Катющенко Галина Анатольевна,Katyushchenko Galina Anatolyevna,KATYUSHENKO Galina Anatolyevna,"UK
EU
CH",26.11.1971,F,"Chairman of the Electoral Commission of the Zaporizhzhia oblast (under Russian occupation). The head of the state body responsible for supporting the Russian occupation of the territory of Ukraine through electoral fraud.
Chairman of the Electoral Commission of the Zaporizhzhia oblast (under Russian occupation). The head of the state body responsible for supporting the Russian occupation of the territory of Ukraine through electoral fraud.","Election fraud organizers

War Arrangers"
Казаков Андрей Анатольевич,Kazakov Andrey Anatolyevich,,,,M,Head of the Office of the President of the Russian Federation (structural subdivision of the Presidential Administration of the Russian Federation). Heads the structural subdivision of the state body responsible for the development and implementation of Russia's aggressive policy during the invasion of Ukraine,Senior Federal Officials
Казарин Валерий Сергеевич,Kazarin Valery Sergeevich,,,07.04.1987,M,"
Financed Russia's aggressive war against Ukraine or managed finances in the interests of the Putin's regime or in order to maintain its stability by virtue of their position.
Deputy Chairman of the Bank of Russia. The Bank of Russia is the state body responsible for monetary policy and maintaining financial stability in order to continue Russia's military aggression against Ukraine.","Top bribetakers and warmongers

State Bankers"
Керян Армен Альбертович,Keryan Armen Albertovich,,,,M,Deputy General Director of ANO Public Television of Russia (OTVR),Top Management of State Owned Companies
Кесаев Игорь Альбертович,Kesaev Igor Albertovich,,"CA
US
UK
EU
CH
AU
JP",30.10.1966,M,"Russian entrepreneur, owner and president of the Mercury Group of Companies, which accumulates assets in development, trade, engineering, transport services, and the mining industry. According to credible public inquiry data, the companies he controls are benefiting significantly from Russian aggression against Ukraine.",Individuals involved in corruption
Хакимов Равиль Рашидович,Khakimov Ravil Rashidovich,,,31.08.1978,M,Deputy General Director of JSC Russian Helicopters,Top Management of State Owned Companies
Хандаев Магомед Гасанович,Khandaev Magomed Gasanovich,,,14.05.1963,M,Official of the Ministry of Defense of the Russian Federation. Head of the State Expertise of the Ministry of Defense of the Russian Federation. Holds a senior position in the federal state body responsible for the military actions of the Russian armed forces against Ukraine.,War Arrangers
Харитонов Владимир Вячеславович,Kharitonov Vladimir Vyacheslavovich,,,1978,M,Deputy General Director of PJSC Federal Grid Company - Rosseti (before reorganization - PJSC FGC UES),Top Management of State Owned Companies
Ходаков Иван Александрович,Khodakov Ivan Alexandrovich,,,01.12.1984,M,Chairman of the Electoral Commission of the Omsk Oblast. Head of the state body responsible for supporting the current political regime in Russia through electoral fraud.,Election fraud organizers
Храмцов Анатолий Михайлович,Khramtsov Anatoly Mikhailovich,,,01.11.1963,M,Deputy General Director of PJSC Russian Railways,Top Management of State Owned Companies
Кирин Сергей Владимирович,Kirin Sergey Vladimirovich,,,,M,Editor-in-Chief of the Grazhdanin newspaper (owned by the Kaliningrad City Council),Propagandists
Кирьянова Дарья Борисовна,Kiryanova Daria Borisovna,,,28.03.1979,M,"Deputy Minister of Science and Higher Education of the Russian Federation. She manages a state body of the Russian Federation, which supports or implements actions or policies that undermine or threaten the territorial integrity, sovereignty, and independence of Ukraine.",Senior Federal Officials
Китаева Мария Владимировна,Kitaeva Maria Vladimirovna,,CA,14.10.1983,F,"Former employee of the propaganda media and former high-ranking official of the Russian Ministry of Defence. According to credible data from a public investigation, she is the beneficiary of the corruption schemes of two Deputy Ministers of Defence of Russia - Yuri Sadovenko (with whom she was in an extramarital relationship) and Timur Ivanov (with whom she is now in such a relationship).",Individuals involved in corruption
Клеймёнов Максим Анатольевич,Kleymenov Maxim Anatolievich,,,,M,Director of LLC Tverskoi Prospect TV and Radio Company. Head of a state-controlled propaganda media outlet that supports Russian aggression against Ukraine.,Propagandists
Клявин Алексей Юрьевич,Klyavin Alexey Yurievich,,UK,1954,M,Member of the Board of Directors of OJSC Sovcomflot,Top Management of State Owned Companies
Князев Владимир Александрович,Knyazev Vladimir Alexandrovich,,,,M,PR Director — Head of the Information Policy Unit of PJSC Inter RAO,Top Management of State Owned Companies
Колесов Николай Александрович,Kolesov Nikolai Alexandrovich,,"CA
UK
AU",17.12.1956,M,General Director of JSC Russian Helicopters,Top Management of State Owned Companies
Колесова И. Е.,Kolesova I. E.,,,,F,Editor-in-Chief of the Magadanskaya Pravda newspaper (owned by the government of Magadan Oblast ),Propagandists
Комар Евгений Викторович,Komar Evgeniy Viktorovich,,,,M,"Director of the Department of Information Technologies of the Government of the Russian Federation.  Manages a structural subdivision of the apparatus of the supreme executive body of the Russian Federation, which supports or implements actions or policies that undermine or threaten the territorial integrity, sovereignty and independence of Ukraine.",Senior Federal Officials
Комаров Кирилл Борисович,Komarov Kirill Borisovich,,"CA
UK",29.12.1973,M,First Deputy General Director of State Atomic Energy Corporation Rosatom,Top Management of State Owned Companies
Комиссаров Алексей Геннадиевич,Komissarov Alexey Gennadievich,,"CA
UK
EU
CH",20.10.1969,M,"General Director of the autonomous non-profit organization ""Russia - Land of Opportunities"".  As a member of the Coordinating Committee of the Presidential Fund for Cultural Initiatives, he participates in the financing of propaganda for the war against Ukraine through allocation of grants from the federal budget for propaganda projects.
Member of the Supervisory Board of the Public-State Movement of the First, which conducts propaganda and uses children to support the Russian political regime and its aggressive policies.

Co-chairman of the All-Russia People's Front - a quasi-public organization that supports the actions of the Russian authorities and aggression against Ukraine
Member of the Board of Directors of PJSC Russian Railways
Authorized representative of presidential candidate Vladimir Putin in the non-competitive presidential election on March 15-17, 2024. Authorized representatives voluntarily campaign for the re-election of Vladimir Putin, who is responsible for unleashing an aggressive war against Ukraine and political repression in Russia.
Information from Vladimir Putin's election website:
Rector of the Federal State Budgetary Educational Institution of Higher Education ""Russian Academy of National Economy and Public Administration under the President of the Russian Federation"", General Director of the ANO ""Russia - the Land of Opportunities""
----
ANO ""Russia - Land of Opportunities"" is a presidential educational platform. The Supervisory Board is headed by Vladimir Putin. Platform projects are being implemented in the occupied territories.

Co-chairman of the All-Russian public movement “People's Front “For Russia”” (a quasi-public organization imitating non-partisan support for Vladimir Putin).
Member of the Expert Council under the Government of the Russian Federation.
Member of the Supervisory Board of the Agency for Strategic Initiatives (ASI).
Member of the Board of Directors, Chairman of the HR Committee of PJSC Sibur Holding.

Previously:
Minister of the Moscow Government.
Independent director of Yandex (until February 2023).","Sellout opinion leaders

Top Management of State Owned Companies

Presidential proxies in elections"
Кондратьев Сергей Борисович,Kondratiev Sergey Borisovich,,,22.10.1978,M,First Deputy General Director and Chief Engineer of PJSC RusHydro,Top Management of State Owned Companies
